true,predict
41.5,42.022499999999994
41.5,42.0875
41.5,41.9325
41.5,41.677499999999995
41.5,41.53
41.5,40.805
41.5,40.667500000000004
41.5,40.4675
41.5,40.355000000000004
41.5,41.5
41.5,41.14
41.5,41.2275
41.5,41.0875
41.5,41.085
41.5,40.935
41.5,40.86
41.5,40.995
41.5,41.11
41.5,41.1525
41.5,41.1375
41.5,41.084999999999994
41.5,40.959999999999994
41.0,40.872499999999995
40.6,40.7125
39.8,40.5275
39.5,40.4525
39.5,40.165
39.5,39.599999999999994
39.5,39.489999999999995
38.5,39.489999999999995
38.0,39.53999999999999
37.2,39.584999999999994
37.2,39.512499999999996
37.2,39.43749999999999
37.2,39.4875
37.2,39.137499999999996
37.2,39.224999999999994
37.2,39.224999999999994
37.2,39.309999999999995
